326: L' U D' L' R' F2 B' U2 D' R2 
327: L' U D' R' F L' F B' D' R' 
328: L' U B2 R U D F L2 F R' 
329: L' U B2 R U F D F L2 R' 
330: L' U2 L D' F L2 F' R' D' L 
331: L' U2 L2 B U D L R' B D' 
332: L' U2 L2 B U D L B R' D' 
333: L' U2 L' R F' R2 D L2 D2 L 
334: L' U2 L' R2 F' R D L2 D2 L 
335: L' U2 F L' D' F U L' R' F' 
336: L' U2 F L' D' F R' U L' F' 
337: L' U' D' L' R' U2 F2 B' D' R2 
338: L' U' L' R2 F U R B2 D' L' 
339: L' U' L' F U R B2 D' L' F' 
340: L' D' B' R U' L F' B2 D2 L' 
341: L' R2 U2 F2 D' L' R B' D' R2 
342: L' B' L R' B L' D L R' D2 
343: L' B' R2 B' R D' L R' B' D2 
344: R U D2 F2 B' U2 L2 U B' L' 
345: R U B D2 F2 B2 L2 U B' L' 
346: R U B' U' B2 D' R2 D' B L' 
347: R U2 R2 F2 B L2 D' L2 D2 L 
348: R U' R2 F2 R B2 D B' D L 
349: R U' R2 B2 R' F2 D2 B' U' B 
350: R U' B2 R' F2 D2 L' B' U' B 
351: R D2 F L F B2 U F2 L' B 
352: R D2 F' U B' L F2 U' B' L' 
353: R D2 B L D R2 U' L F' D' 
354: R D' L2 F' U D' R2 F2 L R2 
355: R D' R2 F' L2 F2 U2 F D' L 
356: R D' F L2 F U' D R B2 D2 
357: R D' B D B U B2 R2 F2 L 
358: R D' B D2 B L2 B2 R2 D' L 
359: R D' B2 U B' D B' R2 F2 L 
360: R F U B2 L' F2 R' B' U' B 
361: R F U2 D B2 L2 B' R2 D L 
362: R F D2 L F B2 U F2 L' B 
363: R F D' L2 F U' D R B2 D2 
364: R F L F B2 U F2 L' R B 
365: R F L2 F D L2 U' R B2 D2 
366: R F2 U D R2 B D F2 B L 
367: R F2 U D F2 B' U' B' L' R2 
368: R F2 U D2 F2 B' L' U' B' L' 
369: R F2 U D2 B' L' F2 U' B' L' 
370: R F2 L2 F L2 U' R F2 B2 D2 
371: R F2 R' B U' F2 D B2 L D 
372: R F' L2 U2 F' D' R2 U' F2 L 
373: R F' B D2 B L2 R2 D' L R2 
374: R F' B2 D2 R2 F L2 D' L R2 
375: R B D R F L2 R B D' L' 
376: R B D2 B L2 B2 R2 D' L R2 
377: R B L2 B R2 F D L2 D2 L 
378: R B R D F L2 R B D' L' 
379: R B' U' F' L2 U2 B R2 F2 L 
380: R B' D2 F U L F2 R B2 R' 
381: R B' D' F2 R U F R D' B2 
382: R2 F B D F U2 F' L R2 D 
383: R2 F2 U' D' L' R D' B U2 B2 
384: R2 F2 D' R U' L' D' B U2 B2 
385: R2 B U L R' F B2 R U' L' 
386: R2 B L2 U R' B2 U' D' L' F 
387: R2 B L2 U R' B2 U' D' F L' 
388: R2 B L2 U R' B2 D' F U' L' 
389: R2 B L2 D2 B L' D' L' D2 L2 
390: R2 B' D2 F' U2 F2 D' L R2 D 
391: R' U F' B L2 D F' L2 D2 L' 
392: R' U2 F' U2 B L2 D L2 D2 L' 
393: R' U' L2 D2 F' D' F' L2 D2 L' 
394: R' U' L2 F' U2 D' L2 B L' R2 
395: R' U' L2 F' D' F' L2 D2 L' F 
396: R' U' L2 F' D' F' L2 D2 F L' 
397: R' U' R F2 R' B R' D L D 
398: R' U' R2 U2 B' U' B' L' F2 R' 
