264: R' D2 F R2 D B' L' F U' L2 
265: R' D2 F2 L2 U B' D' F' B2 D' 
266: R' D2 F2 R2 D2 F' B D F2 B' 
267: R' D2 F' U B D' B2 L2 D2 B 
268: R' D2 F' D' F2 R2 B D F B2 
269: R' D2 F' D' F2 B D' F B2 D2 
270: R' D' B' U R2 D2 B U B2 R2 
271: R' F D L U F B' R D2 R' 
272: R' F D L U' F B' R' D2 R 
273: R' F D L F U B' R D2 R' 
274: R' F D L2 D2 F U B' D2 L2 
275: R' F D L2 D2 F B' U D2 L2 
276: R' F D L2 F B' U' R2 D2 R2 
277: R' F D F L U B' R D2 R' 
278: R' F D F B' D B2 D2 B2 D' 
279: R' F D F B' R U R2 D2 R 
280: R' F D F B' R' U R2 D2 R' 
281: R' F D F2 B' U F' R2 D2 R2 
282: R' F D B D2 F B2 D' F' D' 
283: R' F D B2 D2 F B U R2 D2 
284: R' F D B2 D2 B U F R2 D2 
285: R' F D B' U D2 F R2 D2 F' 
286: R' F D B' D2 F U R2 D2 F' 
287: R' F D' B' L2 F L2 U R2 D2 
288: R' F B U D R2 B' R2 U F2 
289: R' F B U D' F U2 D L2 D 
290: R' F B D R' F R' B' R2 F 
291: R' F B2 U D' F B U' D2 L2 
292: R' F B2 D' F U B U' D2 L2 
293: R' F B' R2 B2 U' D B U' F2 
294: R' F B' R2 B2 R2 D' B2 D2 B' 
295: R' F2 D R' F' R B D' B2 D2 
296: R' F2 D F U B D' L2 B2 D2 
297: R' F2 D F U' B D' B2 D2 R2 
298: R' F2 D F B U2 D2 B2 D' F2 
299: R' F2 D F B D' B2 U' D2 R2 
300: R' F2 D F B D' B2 D F2 D 
301: R' F2 D F2 B D' B2 D F D 
302: R' F2 D F' L2 B2 L2 B D F' 
303: R' F2 D F' L2 B' D2 F' D' F 
304: R' F2 D F' L' B2 D' B R D2 
305: R' F2 D F' B U2 D' B2 D2 F2 
306: R' F2 D F' B D' L B2 D2 R 
307: R' F2 D F' B2 D' B U R2 D2 
308: R' F2 D F' B' U2 D2 F2 D' F2 
309: R' F2 D B U F' U' D' B2 D2 
310: R' F2 D B U2 F' D' B2 D2 F' 
311: R' F2 D B U' F' U D' B2 D2 
312: R' F2 D B D2 B2 D2 F' D F 
313: R' F2 D B L D' B' L' B' D2 
314: R' F2 D B L2 D2 B D B D2 
315: R' F2 D B R' F' R D' B2 D2 
316: R' F2 D B2 L2 B' D2 B2 D' F' 
317: R' F2 D B' U2 F' D2 F' D' F 
318: R' F2 D2 F' B D B' D2 B' D2 
319: R' F2 B2 U D F' L2 B' D F' 
320: R' F2 B2 U D F' B' U2 D F2 
321: R' F2 B2 U D B' U2 F' D F' 
322: R' F2 B2 D F' U L2 B' D F' 
323: R' F2 B2 D F' U B' U2 D F2 
324: R' F2 B' L D B2 D2 B D' R 
325: R' F' U D F' L2 B' D' F' D' 
326: R' F' U F' D B D' L2 B2 D2 
327: R' F' U' F' D B D' B2 D2 R2 
328: R' F' D F' B' U R2 D F' D 
329: R' F' D B' U L2 U2 D2 B L2 
330: R' F' D B' U F' L2 U2 D2 L2 
331: R' F' D B' U F' R2 U2 D2 R2 
332: R' F' D2 F2 R2 D F B' U' L2 
333: R' F' B L2 U' L2 F2 D R2 B' 
334: R' F' B R2 D' B2 U F' L2 D2 
335: R' F' B2 U F' L2 D B' D F' 
336: R' F' B' U L2 F2 R2 U' D2 B 
337: R' F' B' U' D2 R2 B2 L2 U B 
338: R' F' B' U' B' L2 F' R2 U' B 
339: R' F' B' L2 F2 B2 U2 D F2 B' 
340: R' F' B' L2 F2 B2 U' L2 D B' 
341: R' B U L D R2 B' L D' L' 
342: R' B U2 F U D F B U' B2 
343: R' B U2 F U' D F B U B2 
344: R' B U2 F U' D B U F B2 
345: R' B2 U D L2 R2 F B' D' F2 
346: R' B2 U D' L2 D2 F B' D F2 
347: R' B2 U B U2 D F R2 B' D 
348: R' B2 U2 D' B D F B2 D B' 
349: R' B2 U2 L F L B' D F' B' 
350: R' B2 U2 L F B' L D F' B' 
351: R' B2 U2 L B' L F D F2 B' 
352: R' B2 U2 L2 F B' U L2 D B' 
353: R' B2 U2 L' F L' B' D F' B' 
354: R' B2 U2 L' F B' L' D F' B' 
355: R' B2 U2 L' B' L' F D F2 B' 
356: R' B2 U2 F D' B D B2 D B' 
357: R' B2 U2 F L B' L D F' B' 
358: R' B2 U2 F L' B' L' D F' B' 
359: R' B2 U2 F B' U D B' U F2 
360: R' B2 U2 F B' U' D B' U' F2 
361: R' B2 U2 F B' D B' R2 F R2 
362: R' B2 U2 F2 B' U2 F' D F' B' 
363: R' B2 U2 F2 B' U' F' L2 D B' 
364: R' B2 U2 B' U' L2 U F D B' 
365: R' B2 U' D F L2 B' R2 D F' 
366: R' B2 U' D F B' R2 U2 D F2 
367: R' B2 U' D B D F B2 R2 D 
368: R' B2 U' D' F B' R2 U' L2 D 
369: R' B2 D F2 U B D F' B2 D 
370: R' B2 D B L F2 D F' B2 D 
371: R' B2 D2 B U' D F R2 D L2 
372: R' B2 L2 F2 U' D F' B' D F2 
373: R' B2 L2 F' B U' L2 R2 U' B 
374: R' B2 R2 F B' R2 D B2 D2 B 
375: R' B' U' D F R2 B U B2 D 
376: R' B' L U2 D F U R2 B' D 
377: R' B' L F2 D' F U' D' L2 R2 
378: R' B' L F2 D' B' D2 F' B' D 
379: R' B' L F' R2 U F' L2 R2 D2 
380: F D2 R' D F B L U2 R D 
381: F D' R2 B R' U R2 F L D 
382: F D' F B L R D2 B' D' B 
383: F2 D B R' F U' R D' B2 D2 
384: F2 R2 U2 R D F U B L' D 
385: F2 R2 F2 R' B D F U R2 B' 
386: F2 B2 D R' F R B' U L' D 
387: F2 B' U R B2 D2 F U L' R' 
388: F2 B' U R B2 D2 F R' U L' 
389: F' U' F' B' R U' F B L2 B 
